"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2018","4,400.61","4,906.10","4,916.87","4,066.27","1.43M","-11.76%"
"09/01/2018","4,987.27","5,049.73","5,123.26","4,812.93","1.37M","-1.40%"
"08/01/2018","5,057.98","5,553.76","5,578.33","4,994.32","1.75M","-8.74%"
"07/01/2018","5,542.54","5,601.74","5,702.28","5,251.50","1.93M","-1.18%"
"06/01/2018","5,608.54","6,285.05","6,340.68","5,384.05","1.48M","-11.19%"
"05/01/2018","6,315.17","6,516.60","6,724.74","6,222.10","1.80M","-3.10%"
"04/01/2018","6,517.05","6,818.12","6,875.64","6,394.42","1.69M","-4.14%"
"03/01/2018","6,798.67","6,530.22","6,963.85","6,257.96","2.11M","3.58%"
"02/01/2018","6,563.81","6,775.36","6,792.99","5,983.77","1.14M","-3.35%"
"01/01/2018","6,791.01","7,027.63","7,194.98","6,773.99","1.92M","-3.23%"
"12/01/2017","7,017.35","7,144.48","7,221.00","6,879.24","1.48M","-1.90%"
"11/01/2017","7,153.57","7,630.42","7,683.23","7,057.33","1.77M","-6.26%"
"10/01/2017","7,631.53","7,921.73","7,997.99","7,531.29","1.46M","-2.69%"
"09/01/2017","7,842.59","7,687.84","7,981.78","7,674.20","2.35M","2.12%"
"08/01/2017","7,679.87","7,444.75","7,680.31","7,318.48","2.48M","3.16%"
"07/01/2017","7,444.96","7,468.15","7,626.85","6,988.52","2.01M","-0.28%"
"06/01/2017","7,465.76","7,191.69","7,542.13","6,927.92","1.69M","3.50%"
"05/01/2017","7,213.15","7,831.44","7,877.32","6,996.64","1.51M","-8.02%"
"04/01/2017","7,842.01","8,369.39","8,567.80","7,593.02","1.72M","-5.97%"
"03/01/2017","8,339.75","8,497.89","8,704.85","8,291.69","2.09M","-1.98%"
"02/01/2017","8,508.32","8,212.41","8,546.62","8,157.67","1.59M","3.69%"
"01/01/2017","8,205.87","8,503.66","8,694.44","7,715.43","1.39M","-3.36%"
"12/01/2016","8,490.92","9,021.97","9,060.63","8,299.28","1.85M","-5.82%"
"11/01/2016","9,015.55","8,914.68","9,257.17","8,853.89","2.67M","1.17%"
