time,BTC,DBC - commodities,GLD - gold,IEF - intermediate bonds,SPY - stocks,SVXY,TLT - long term bonds
20/4/2015,224.6260071,15.09951687,114.7200012,85.30973816,174.5610809,79.87999725,96.48083496
21/4/2015,235.2689972,14.98960781,115.3799973,85.12937927,174.3531799,79.80999756,96.04395294
22/4/2015,234.1759949,15.04033661,113.8300018,84.63534546,175.2099762,80.73999786,94.57771301
23/4/2015,236.4620056,15.22633171,114.6600037,84.89412689,175.6508331,81.51000214,94.98495483
24/4/2015,231.2680054,15.21787834,113.0500031,85.19217682,176.0584564,82.30999756,95.57740784
27/4/2015,229.2859955,15.21787834,115.3300018,85.05879211,175.3264313,79.91999817,95.57740784
28/4/2015,225.8549957,15.2432394,116.3300018,84.66667938,175.8837738,82.66999817,94.25933075
29/4/2015,225.8079987,15.34469128,115.5100021,84.35298157,175.1600494,80.40000153,93.10411835
30/4/2015,236.1450043,15.46305561,113.4700012,84.32944489,173.4048767,78.18000031,93.26702118
1/5/2015,232.0789948,15.44614601,113.0800018,83.86840057,175.2848053,81.95999908,92.01150513
4/5/2015,239.0180054,15.43769264,114.0999985,83.69562531,175.7839203,81.87000275,91.14329529
5/5/2015,236.1210022,15.56450462,114.4199982,83.55421448,173.7708435,79.05000305,91.01719666
6/5/2015,229.7819977,15.56450462,114.3600006,83.14582825,173.0555115,77.73000336,89.45893097
7/5/2015,237.3339996,15.31933117,113.4199982,83.49926758,173.7458954,78.33999634,90.66104126
8/5/2015,243.8630066,15.40387154,113.9700012,83.82134247,176.0335083,82.44999695,90.90588379
11/5/2015,242.1580048,15.33623886,113.5299988,82.9965744,175.1933136,80.19999695,88.69464111
12/5/2015,241.1119995,15.49687004,114.5,83.05944061,174.6692963,80.55000305,88.92468262
13/5/2015,236.3769989,15.51378059,116.5500031,82.94945526,174.7025757,81.97000122,88.21237183
14/5/2015,236.9290009,15.60677528,117.1800003,83.23226929,176.524292,83.63999939,88.44975281
15/5/2015,237.6049957,15.59832382,117.5299988,83.82914734,176.7155914,84.30000305,90.22319794
18/5/2015,233.128006,15.55605316,117.5199966,83.26366425,177.2646179,87.15000153,88.7094574
19/5/2015,231.9470062,15.22633171,115.8899994,82.89448547,177.2063904,88.29000092,87.92288208
20/5/2015,234.0180054,15.19251251,116.0800018,83.07515717,177.081604,88.05000305,88.0713501
21/5/2015,235.3439941,15.37851048,115.6900024,83.56996918,177.5973206,90.5,89.30306244
